,dialog,gameplan_prediction
0," Hello, what are we doing today? <<TURN>>  grab the mug off the table <<TURN>>  by the window <<TURN>>  OKay. <<TURN>>  take it to the sink and wash it <<TURN>>  Okay, what next/ <<TURN>>  Alright. <<TURN>>  clear the sink first <<TURN>>  Okay, all cleared. Putting mug in sink now. <<TURN>>  turn on the water <<TURN>>  Water is on already. <<TURN>>  after you placed in the sink <<TURN>>  claen it and take it to the coffee maker <<TURN>>  *clean <<TURN>>  place in sink <<TURN>>  It won't let me place the cup into the sink. <<TURN>>  turn off water first <<TURN>>  Thank you <<TURN>>  thats what im here for",Pickup Mug -- Place CounterTop -- Pickup PaperTowelRoll -- Place CounterTop -- Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- Pickup Mug -- Pour Sink
1, I would like you to make breakfast <<TURN>>  first you should make coffee in a clean coffee mug <<TURN>>  ok <<TURN>>  the mug is on the table <<TURN>>  what next? <<TURN>>  now you should make a salad <<TURN>>  first the lettuce needs to be sliced using a knife <<TURN>>  is it okay if i use butter knife?,Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- Pickup Cup -- Place DiningTable -- Pickup ButterKnife -- Slice Lettuce
2, hi <<TURN>>  put mugs in the sink <<TURN>>  what should i do today? <<TURN>>  one in the fridge <<TURN>>  go to the fridge and grab the mug <<TURN>>  place in sink <<TURN>>  place in sink <<TURN>>  then go to the cabinet above the sink on the right <<TURN>>  the other sink <<TURN>>  go to the other sink <<TURN>>  where is the other sink? <<TURN>>  above the sink is a cabinet open it <<TURN>>  go to the cabinet above the sink you just place the mug in <<TURN>>  open the right side cabinet and take the second mug out,Open Fridge -- Pickup Mug -- Close Fridge -- Place  -- Open Cabinet -- Pickup Mug
3, hi how can i help <<TURN>>  Hi can you make me a plate of toast <<TURN>>  Bread is on the table,Pickup PepperShaker -- Place DiningTable -- Pickup Plate -- ToggleOff Faucet -- Place 
4, we need to make a sandwich <<TURN>>  lets slice some bread <<TURN>>  hi <<TURN>>  ok <<TURN>>  there is a knife in the sink <<TURN>>  where can i find bread <<TURN>>  the bread is right by the sink as well <<TURN>>  we need 2 slices of bread toasted <<TURN>>  the toaster is by the stove <<TURN>>  how many slices <<TURN>>  2 please <<TURN>>  next please <<TURN>>  the tomato in the fridge <<TURN>>  behind you <<TURN>>  we to slice it <<TURN>>  need to slice it <<TURN>>  we need 2 slices of tomato please,Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- ToggleOff Toaster -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place Plate -- Open Fridge -- Pickup Tomato -- Close Fridge -- Place CounterTop
5," how may i help you? <<TURN>>  Hi, I have a neat task for you today. I'd like all my plates cleaned please <<TURN>>  the first plate can be found to the right of the oven <<TURN>>  great ill get started <<TURN>>  Thank you! <<TURN>>  The next plate is located under the sink, in the righthand cabinet",Pickup Plate -- ToggleOff Faucet -- Place  -- Open Drawer -- Open Cabinet -- Open Cabinet -- Pickup Plate -- Place 
6," hello lets make coffee <<TURN>>  Hi, first task? <<TURN>>  ok <<TURN>>  mug in sink <<TURN>>  ? <<TURN>>  lag <<TURN>>  where is the mug <<TURN>>  okay <<TURN>>  its in the sink",Pickup Cup -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine
7, hi how can i be of assistance <<TURN>>  Hi please cook up 3 slices of potato <<TURN>>  and put them in a bowl <<TURN>>  where is the knife <<TURN>>  i left it on one of the stools <<TURN>>  the bowl should be on the tab;e,Pickup Potato -- Place CounterTop -- Pickup Pan -- Place StoveBurner -- Open Fridge -- ToggleOff Faucet -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- Pickup Pan -- Place StoveBurner -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- Pickup PotatoSliced -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place Bowl
8, hi <<TURN>>  first task <<TURN>>  prepare coffe in clean mug <<TURN>>  ok <<TURN>>  where's the mug? <<TURN>>  check on the counter top <<TURN>>  beside the coffee machine <<TURN>>  pour water in basin an fill with coffee <<TURN>>  good <<TURN>>  next we are making a salad <<TURN>>  go slice the lettuce <<TURN>>  next? <<TURN>>  tomato needs to be slice <<TURN>>  sliced <<TURN>>  and potatoes too <<TURN>>  where's the potato? <<TURN>>  cook the potato slice <<TURN>>  infront of you <<TURN>>  put all the salad components in a plate <<TURN>>  plate is left to the stove <<TURN>>  can u please pick the plate <<TURN>>  I'm trying to pick the cooked potato <<TURN>>  a minute <<TURN>>  ok <<TURN>>  next? <<TURN>>  put an extra slice of tomato <<TURN>>  done <<TURN>>  something is missing <<TURN>>  what's that? <<TURN>>  lettuce <<TURN>>  one more slice <<TURN>>  can't put any slice in again <<TURN>>  remove one slice of tomato,Open Fridge -- Pickup Mug -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Apple -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup ButterKnife -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup ButterKnife -- Slice Lettuce -- Slice Tomato -- Slice Egg -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place Pot -- ToggleOn StoveKnob -- ToggleOn StoveKnob -- ToggleOff StoveKnob -- ToggleOff StoveKnob -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Pour  -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Pickup Mug -- Place CounterTop
9, What should I do today? <<TURN>>  hi <<TURN>>  today lets cook the potato <<TURN>>  potato is in the lower drawer left to stove <<TURN>>  knife is in the upper cabinet above the sink,Pickup Potato -- Open Microwave -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Potato -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Open Cabinet -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop
10," Hello, what is my task <<TURN>>  hi please put all small handheld objects on one table <<TURN>>  object is on table <<TURN>>  done? <<TURN>>  there is one object on the brown coffee table <<TURN>>  needs to be put on same yable as other <<TURN>>  done <<TURN>>  there is also a remote on the brown table that needs to be oicked up too",Pickup Watch -- Place DiningTable -- Pickup KeyChain -- Place DiningTable -- Pickup CreditCard -- Place DiningTable -- Pickup RemoteControl -- Place DiningTable
11, Hello. What is my first task? <<TURN>>  make an slice of potato and cook it <<TURN>>  potato is in the cabinet under the microwave <<TURN>>  I cooked the potato <<TURN>>  clean the plate,Pickup Knife -- Slice Egg -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOff StoveKnob -- Pickup PaperTowelRoll -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup PaperTowelRoll -- Place Sink -- ToggleOff Faucet -- Pickup Mug -- Place Sink -- Pickup Egg
12, hello <<TURN>>  What should I do today? <<TURN>>  please make two slices of toast <<TURN>>  Where is the bread? <<TURN>>  Bread is on the table. Please slice both loaves an take the end piece and toast it <<TURN>>  It is the smallest and plate we will be using is very small <<TURN>>  you will need a slice of tomato as well,Open Fridge -- Pickup Knife -- Slice Bread -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster
13, what can i do for you? <<TURN>>  please clean a plate <<TURN>>  ok <<TURN>>  where is a dirty plate? <<TURN>>  check under the sink <<TURN>>  on the right,ToggleOff Faucet -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Place  -- ToggleOn Faucet -- ToggleOff Faucet
14, Hi <<TURN>>  what's the task? <<TURN>>  grab mug off the counter <<TURN>>  and rinse in the sink <<TURN>>  dump water out mug <<TURN>>  Next? <<TURN>>  place in coffee maler <<TURN>>  turn on <<TURN>>  Next <<TURN>>  grab plate on counter <<TURN>>  take to the sink and rinse <<TURN>>  empty sink first <<TURN>>  place plate on the counter <<TURN>>  grab lettuce next to the stove <<TURN>>  slice with a knife <<TURN>>  knife on the chair <<TURN>>  grab tomato and slice also <<TURN>>  next <<TURN>>  ?? <<TURN>>  tomato <<TURN>>  slice it <<TURN>>  Done <<TURN>>  grab potato <<TURN>>  slice it <<TURN>>  next to the stove <<TURN>>  after you slice it then cook it <<TURN>>  potato need to be cooked not tomato <<TURN>>  slice the potato and cook <<TURN>>  ok <<TURN>>  place the tomato back on the counter <<TURN>>  cook potato <<TURN>>  in pan <<TURN>>  just the potato,Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Plate -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Spatula -- Place CounterTop -- Pickup Plate -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place DiningTable -- Pickup Lettuce -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Slice Tomato -- Place DiningTable -- Pickup Potato -- Place CounterTop -- Pickup TomatoSliced -- Place Pot -- Pickup Pot -- Place StoveBurner -- Pickup TomatoSliced -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup Pot -- Place StoveBurner -- Pickup Cup -- Place  -- ToggleOn Faucet
15, What should I do today? <<TURN>>  hello lets start with making a slice of tomato <<TURN>>  Sliced the tomato. <<TURN>>  What is next? <<TURN>>  the knife is on the brown counter near the green door,Pickup Knife -- Slice Tomato -- Place CounterTop
16," Hi! How can I help you today? <<TURN>>  pls make a coffee in clean mug <<TURN>>  Sure. Where is the mug? <<TURN>>  mug is on the coffee maker <<TURN>>  clean it <<TURN>>  There you go! <<TURN>>  good <<TURN>>  next make salad <<TURN>>  slice the lettuce <<TURN>>  tomato <<TURN>>  Okay. Where is the lettuce and knife? <<TURN>>  potato <<TURN>>  lettuce is inside the microwoven <<TURN>>  Knife please. <<TURN>>  knife is in sink <<TURN>>  Tomato? <<TURN>>  tomato is in the drawer where you put the lettuce <<TURN>>  leftside lower draw <<TURN>>  I'm not seeing it. <<TURN>>  please check in fridge <<TURN>>  Not in the fridge either. <<TURN>>  beside the fridge black color basket <<TURN>>  Lettuce, tomato and potato are  cut. <<TURN>>  good <<TURN>>  slice the potato <<TURN>>  cook the potato slice in microwoven <<TURN>>  I did. <<TURN>>  2 slices <<TURN>>  please clean the plate <<TURN>>  and put all salad items in it <<TURN>>  where is the plate <<TURN>>  good",Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Vase -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Open Microwave -- Pickup Lettuce -- Close Microwave -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Slice Potato -- Place CounterTop -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Open Cabinet -- Close Cabinet -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Fridge -- Close Fridge -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Close Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Close Microwave -- Pickup Plate -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate
17, whats first <<TURN>>  Hello <<TURN>>  We are making a slice of toast. <<TURN>>  whats next <<TURN>>  The bread is on the countgertop. <<TURN>>  Countertop* <<TURN>>  ?? <<TURN>>  whats next <<TURN>>  Now go toast the slice <<TURN>>  The toaster is to the left of the sink.,Pickup Bread -- Place DiningTable -- Pickup WineBottle -- Place CounterTop -- Pickup ButterKnife -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced
18, hi <<TURN>>  what can i do today <<TURN>>  cook 3 slices of potatos with the help of knife <<TURN>>  done next? <<TURN>>  plese plate the potatos in clean plate <<TURN>>  3 slices,Pickup Knife -- Place CounterTop -- Pickup Pot -- Place CounterTop -- ToggleOn StoveKnob -- ToggleOff StoveKnob -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate
19, what can I help you with? <<TURN>>  coffee please <<TURN>>  yes sir <<TURN>>  where is the mug? <<TURN>>  check the bin left of stove <<TURN>>  is the mug clean?,Pickup Cup -- Place CounterTop -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- Pickup Mug
20, what do i do <<TURN>>  hey <<TURN>>  hi <<TURN>>  lets slice a tomato <<TURN>>  the tomato is on the brown shelves <<TURN>>  wheres the knife <<TURN>>  im trying to find the knife <<TURN>>  its on the island <<TURN>>  the tomato is on the brown shelf by the vase,Pickup Knife -- Slice Apple -- Place DiningTable -- Pickup Cup -- Place DiningTable -- Pickup Tomato
21, hi <<TURN>>  what to do <<TURN>>  hi...lets make a plate of toast <<TURN>>  where is the knife <<TURN>>  checkcheck behind the bread,Open Fridge -- Pickup Spoon -- Place Fridge -- Pickup Knife -- Close Fridge -- Slice Bread -- Place SideTable -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster
22, hello how are you today <<TURN>>  our task is to clean all plates <<TURN>>  ok <<TURN>>  where are the plates? <<TURN>>  the plate is next to the toaster,ToggleOff Faucet -- Pickup Plate -- Place  -- ToggleOn Faucet
23, hii <<TURN>>  make a sandwich <<TURN>>  hi \ <<TURN>>  what  ingredients do I need <<TURN>>  bread <<TURN>>  take some bread and slice it toat it <<TURN>>  toast it <<TURN>>  please toast the sliced bread <<TURN>>  okay i toasted two slices <<TURN>>  take letuce and slice it <<TURN>>  slice tomate <<TURN>>  done <<TURN>>  where is the tomato <<TURN>>  all sandwich components need to be on plate <<TURN>>  okay <<TURN>>  tomato is in fridge <<TURN>>  good job <<TURN>>  thank you <<TURN>>  where is plate <<TURN>>  fridge <<TURN>>  plate is in fridge <<TURN>>  okay,Pickup Knife -- Slice Bread -- Slice Bread -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup Potato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate
