DIALOG,GT,PRED
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  hello what is my task? <<TURN>>  we are to boil a potatoe <<TURN>>  Where is potato> <<TURN>>  it is in the fridge [/INST]","['Open Fridge', 'Pickup Knife', 'Close Fridge', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Pickup SaltShaker', 'Place CounterTop', 'ToggleOff Faucet', 'Pickup Egg', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Open Fridge', 'Pickup Potato']","['Open Fridge', 'Pickup Potato', 'Place CounterTop', 'Pickup Egg', 'Place CounterTop', 'Pickup Potato', 'Place Pot', 'Pickup Pot', 'Place StoveBurner', 'ToggleOff StoveKnob', 'Pickup Potato', 'Place Pot', 'ToggleOn StoveKnob', 'Pickup Potato', 'Place CounterTop', 'Pickup Potato', 'Place Pot', 'ToggleOff StoveKnob', 'Pickup Potato']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  what shall i do? <<TURN>>  Cook 1 slice of potato <<TURN>>  where is potato <<TURN>>  Potato in oven <<TURN>>  knife is in fridge <<TURN>>  There is a bowl in fridge <<TURN>>  Place slice in bowl <<TURN>>  Clean the bowl first [/INST]","['ToggleOff Microwave', 'Open Microwave', 'Pickup Potato', 'Close Microwave', 'Place DiningTable', 'Open Fridge', 'Pickup Knife', 'Close Fridge', 'Slice Potato', 'Place DiningTable', 'Pickup PotatoSliced', 'Place DiningTable', 'Open Fridge', 'Pickup Bowl', 'Close Fridge', 'Place CounterTop', 'Pickup Tomato', 'Place CounterTop', 'Pickup Spatula', 'Place CounterTop', 'Pickup Bowl', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Bowl', 'Pour ', 'Place CounterTop', 'Pickup Egg', 'Place CounterTop']","['Open Fridge', 'Pickup Knife', 'Close Fridge', 'Slice Potato', 'Place CounterTop', 'Pickup PotatoSliced', 'Place Pot', 'Pickup PotatoSliced', 'Place Pot', 'Pickup Pot', 'Place CounterTop', 'Pickup Bowl', 'Pour Pot', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Bowl', 'Pour PotatoSliced', 'Place DiningTable', 'Pickup PotatoSlic']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  hello what is my task? <<TURN>>  we are to boil a potatoe <<TURN>>  Where is potato> <<TURN>>  it is in the fridge <<TURN>>  Will I need to remove potato once it is boiled? <<TURN>>  it just says we need to boil the potatoe in water <<TURN>>  try putting it in the pot with water <<TURN>>  It says it is too full or too small <<TURN>>  Should I slice it? Or try to boil it in microwave <<TURN>>  try pouring out the water in the pot <<TURN>>  no it should be whole potatoe <<TURN>>  now try place the potatoe inside <<TURN>>  still no <<TURN>>  move down <<TURN>>  Wont work <<TURN>>  there is something in the pot <<TURN>>  see if you can remove it <<TURN>>  take the pot and place on the floor [/INST]","['Open Fridge', 'Pickup Knife', 'Close Fridge', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Pickup SaltShaker', 'Place CounterTop', 'ToggleOff Faucet', 'Pickup Egg', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Open Fridge', 'Pickup Potato', 'Place CounterTop', 'Pickup Pan', 'Place CounterTop', 'Pickup Pot', 'Place StoveBurner', 'Pickup Potato', 'Place CounterTop', 'Pickup Pot', 'Pour ', 'Place StoveBurner', 'Pickup Potato', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Pickup Potato', 'Place CounterTop', 'Pickup Apple', 'Place CounterTop', 'Pickup SprayBottle', 'Place CounterTop', 'Pickup SoapBottle', 'Place CounterTop', 'Pickup DishSponge', 'Place CounterTop', 'Pickup ButterKnife', 'Place CounterTop', 'Pickup Bowl', 'Place Sink', 'ToggleOn Faucet', 'Pickup Potato', 'Place CounterTop', 'Pickup SprayBottle', 'Place CounterTop', 'Pickup Bowl', 'Place CounterTop', 'Pickup Pot', 'Place Sink', 'Pickup Potato', 'Place Floor', 'Pickup Pot', 'Place Floor', 'Pickup Potato', 'Place Floor']","['Open Fridge', 'Pickup Potato', 'Close Fridge', 'Place CounterTop', 'Pickup SaltShaker', 'Place CounterTop', 'Pickup Pot', 'Place Floor', 'Pickup Pot', 'Place Floor', 'Pickup Pot', 'Place Floor', 'Pickup Pot', 'Place Floor', 'Pickup Pot', 'Place StoveBurner', 'Pickup Pot', 'Place StoveBurner', 'Pickup Pot', 'Place StoveBurner', 'Pickup Pot', 'Place Sto']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  Hello, I am here! <<TURN>>  What is my first task? <<TURN>>  The plant needs to be watered. <<TURN>>  Go to the sink. <<TURN>>  ok <<TURN>>  what should i do next? <<TURN>>  Fill up the container on the right <<TURN>>  It looks like a pot. <<TURN>>  Fill up the container <<TURN>>  Great! <<TURN>>  Pick up the pot <<TURN>>  Head to the plant <<TURN>>  Good work! [/INST]","['Pickup Potato', 'Place CounterTop', 'Pickup Pot', 'ToggleOff Faucet', 'Place CounterTop', 'Pickup SaltShaker', 'Place CounterTop', 'Pickup Pot', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Pot', 'Pour HousePlant', 'Place DiningTable']","['ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Pot', 'Pour HousePlant', 'Place CounterTop', 'Pickup Pot', 'Place CounterTop', 'Pickup Pot', 'Place CounterTop', 'Pickup Pot', 'Place CounterTop', 'Pickup Pot', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Pot', 'Pour HousePlant', 'Place CounterTop', 'Pickup Pot', 'Pour HousePlant', 'Place']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  hi,what should i do today? <<TURN>>  Add coffee to a mug <<TURN>>  Mug is in the coffee maker already <<TURN>>  should i rinse the mug or not? <<TURN>>  dont <<TURN>>  its clean <<TURN>>  done <<TURN>>  what should i do next? <<TURN>>  the mug doesnt have coffee yet <<TURN>>  try holding the mug we see [/INST]","['ToggleOn CoffeeMachine', 'ToggleOff CoffeeMachine', 'Pickup Mug', 'Place CoffeeMachine']","['Pickup Mug', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Mug', 'Pour ', 'Place CoffeeMachine', 'ToggleOff CoffeeMachine', 'ToggleOn CoffeeMachine', 'ToggleOff CoffeeMachine', 'ToggleOn CoffeeMachine', 'Pickup Mug', 'Place CoffeeMachine', 'ToggleOff CoffeeMachine', 'ToggleOn CoffeeMachine', 'Pickup Mug']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  First task? <<TURN>>  ANUGGDG0JJ4PK <<TURN>>  Make 2 sandwich toast <<TURN>>  I mean 2 slice of toast <<TURN>>  Slice the bread and toast it in toaster <<TURN>>  knife is on the shelf above microwave <<TURN>>  knife <<TURN>>  i can see all that stuff' <<TURN>>  Slice the bread <<TURN>>  where is the bread <<TURN>>  you keep repeating yourself <<TURN>>  in the shelf ;eft of  the microwave <<TURN>>  you dont know <<TURN>>  Well u know better then <<TURN>>  i saw the bread on the top shelf on left of microwave <<TURN>>  2 slices to be toasted <<TURN>>  next <<TURN>>  Make a slice of lettuce <<TURN>>  Lettuce is in the shelf below the sink <<TURN>>  Now Place all salad components on a plate [/INST]","['Open Cabinet', 'Open Microwave', 'Close Microwave', 'Close Cabinet', 'Open Cabinet', 'Close Cabinet', 'Open Drawer', 'Close Drawer', 'Pickup Knife', 'Slice Bread', 'Place CounterTop', 'Pickup BreadSliced', 'Place Toaster', 'ToggleOn Toaster', 'Pickup BreadSliced', 'Place CounterTop', 'Pickup Bread', 'Place CounterTop', 'Pickup BreadSliced', 'Place Toaster', 'Pickup BreadSliced', 'Place CounterTop', 'ToggleOff Faucet', 'Pickup Spatula', 'Place CounterTop', 'Pickup Plate', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Plate', 'Place CounterTop', 'Pickup Lettuce', 'Place CounterTop', 'Pickup Knife', 'Slice Lettuce', 'Place CounterTop', 'Pickup BreadSliced', 'Place Plate', 'Pickup BreadSliced', 'Place Plate', 'Pickup LettuceSliced', 'Place Plate']","['Pickup Tomato', 'Place DiningTable', 'Pickup Knife', 'Slice Bread', 'Slice Bread', 'Place DiningTable', 'Pickup BreadSliced', 'Place Toaster', 'Pickup BreadSliced', 'Place DiningTable', 'Pickup BreadSliced', 'Place DiningTable', 'Pickup BreadSliced', 'Place Toaster', 'Pickup BreadSliced', 'Place DiningTable', 'Pickup Knife', 'Slice']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  What I can I do for you? <<TURN>>  Hi. Please cook a slice of potato and serve on a plate. <<TURN>>  Where is the potato? <<TURN>>  In the fridge <<TURN>>  This is an egg [/INST]","['Pickup Knife', 'Place CounterTop', 'Pickup Potato', 'Place CounterTop', 'Pickup Knife', 'Slice Potato', 'Place CounterTop', 'Open Fridge', 'Pickup Egg', 'Place Fridge', 'Pickup Plate']","['Pickup Potato', 'Place CounterTop', 'Open Fridge', 'Pickup Potato', 'Place CounterTop', 'Pickup Knife', 'Slice Potato', 'Place CounterTop', 'Pickup PotatoSliced', 'Place Pan', 'Pickup Pan', 'Place StoveBurner', 'Pickup Pan', 'Place CounterTop', 'Pickup PotatoSliced', 'Place Plate', 'Pickup Pan', 'Place CounterTop', 'Pickup PotatoSliced', 'Place']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  Hello. <<TURN>>  We are making a sandwich. <<TURN>>  what can i do for you today <<TURN>>  hi <<TURN>>  Go to the kitchen table. <<TURN>>  Take the sale off of the plate. <<TURN>>  Pickup the knife that is on that table. <<TURN>>  You will cut the lettuce. <<TURN>>  next <<TURN>>  Place a piece of lettuce on the plate. <<TURN>>  done <<TURN>>  We need to cut the bread and toast two pieces. <<TURN>>  The bread is located under the kitchen sink <<TURN>>  The right cabinet under the sink. <<TURN>>  where is the bread <<TURN>>  Under the kitchen sink. <<TURN>>  Open the right side cabinet <<TURN>>  Pickup the bread [/INST]","['Pickup SaltShaker', 'Place DiningTable', 'Pickup Knife', 'Slice Lettuce', 'Place DiningTable', 'Pickup LettuceSliced', 'Place Plate', 'Pickup Potato', 'Place CounterTop', 'Open Cabinet', 'Open Cabinet', 'Pickup Bread']","['Pickup Plate', 'Place DiningTable', 'Pickup Knife', 'Slice Lettuce', 'Place Plate', 'Pickup Plate', 'Place DiningTable', 'Open Cabinet', 'Pickup Bread', 'Close Cabinet', 'Place CounterTop', 'Pickup Cup', 'Place CounterTop', 'Pickup ButterKnife', 'Slice Bread', 'Place CounterTop', 'Pickup Bread', 'Place CounterTop', 'Pickup Bread', 'Place CounterTop']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  hi <<TURN>>  task plz <<TURN>>  clean the dirty mug which is inside the fridge <<TURN>>  done <<TURN>>  done, thanks!! [/INST]","['Open Fridge', 'Pickup Mug', 'Place Fridge', 'Pickup Mug', 'Close Fridge', 'Place CounterTop', 'ToggleOff Faucet', 'Pickup Mug', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Mug']","['Open Fridge', 'Pickup Mug', 'Place CounterTop', 'ToggleOff Faucet', 'Pickup DishSponge', 'Place CounterTop', 'Pickup Knife', 'Place CounterTop', 'Pickup Mug', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Mug', 'Pour ', 'Place CounterTop', 'Pickup Mug', 'Pour ', 'ToggleOff Faucet', 'Place ', 'ToggleOn']"
"<s>[INST] You are given a dialog between a Commander and a Driver, where the Commander gives instructions and Driver does as instructed. Your task is to provide all the (action, object) sequences required to complete all the tasks mentioned in the dialog.Here's the dialog:  we need to prepare cofee first please <<TURN>>  in a mug <<TURN>>  What should I do today? <<TURN>>  ok <<TURN>>  by the stove <<TURN>>  there is one <<TURN>>  it may be dirty though <<TURN>>  please wash if necessary <<TURN>>  the coffee maker <<TURN>>  is on the table <<TURN>>  ok. Coffee has been made <<TURN>>  thanks <<TURN>>  please get the lettuce and potato <<TURN>>  from the fridge <<TURN>>  we need those <<TURN>>  the lettuce can go to the table <<TURN>>  the potato can go to the stove [/INST]","['Pickup Mug', 'ToggleOff Faucet', 'Place CounterTop', 'Pickup Potato', 'Place CounterTop', 'Pickup Knife', 'Place CounterTop', 'Pickup Mug', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Mug', 'Pour ', 'Place CoffeeMachine', 'ToggleOff CoffeeMachine', 'ToggleOn CoffeeMachine', 'Open Fridge', 'Pickup Lettuce', 'Close Fridge', 'Place DiningTable', 'Pickup Potato']","['Pickup Mug', 'Place ', 'ToggleOn Faucet', 'ToggleOff Faucet', 'Pickup Mug', 'Pour ', 'Place CoffeeMachine', 'ToggleOn CoffeeMachine', 'ToggleOff CoffeeMachine', 'Open Fridge', 'Pickup Lettuce', 'Close Fridge', 'Place DiningTable', 'Pickup Knife', 'Place DiningTable', 'Open Fridge', 'Pickup Potato', 'Close Fridge', 'Place DiningTable', 'Pick']"
